采集日期,出发城市码,出发城市名,出发机场码,出发机场名,出发口,到达城市代码,到达城市名,到达机场码,到达机场,到达口,航班号,共享航班号,共享航司,航司,航司名,机型,机型,机型大小,出发时间,到达时间,票价,折扣率,经停到达,经停出发,经停城市,经停机场,经停城市名,准点率
2019/8/2 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,CAN,广州,CAN,白云国际机场,T2,CZ6612,,None,CZ,南方航空,73Q,波音737,中型,2019/9/1 15:50,2019/9/1 23:35,2830,0.71,2019/9/1 15:50,2019/9/1 20:10,CGO,CGO,郑州,
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,CGO,郑州,CGO,新郑国际机场,T2,CZ6612,,None,CZ,南方航空,73Q,波音737,中型,2019/9/1 15:50,2019/9/1 20:10,1340,0.47,,,,,,
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,CKG,重庆,CKG,江北国际机场,T2,3U8494,,None,3U,四川航空,320,空客320,中型,2019/9/1 14:55,2019/9/1 21:25,1070,0.38,2019/9/1 14:55,2019/9/1 18:40,SIA,XIY,西安,90%
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,CKG,重庆,CKG,江北国际机场,T2,G58702,3U8494,四川航空,G5,华夏航空,320,空客320,中型,2019/9/1 14:55,2019/9/1 21:25,1540,0.55,2019/9/1 14:55,2019/9/1 18:40,SIA,XIY,西安,90%
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,CKG,重庆,CKG,江北国际机场,T2,ZH3894,3U8494,四川航空,ZH,深圳航空,320,空客320,中型,2019/9/1 14:55,2019/9/1 21:25,1830,0.64,2019/9/1 14:55,2019/9/1 18:40,SIA,XIY,西安,90%
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,FYN,富蕴,FYN,富蕴机场,,JR1611,,None,JR,幸福航空,MA6,新舟60,小型,2019/9/1 12:05,2019/9/1 12:40,243,0.34,,,,,,97%
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,KHG,喀什市,KHG,喀什机场,,CZ6836,,None,CZ,南方航空,E90,巴航工190,中型,2019/9/1 15:15,2019/9/1 19:25,1400,0.4,2019/9/1 15:15,2019/9/1 16:40,YIN,YIN,伊宁市,97%
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,KJI,布尔津,KJI,喀纳斯机场,,JR1594,,None,JR,幸福航空,MA6,新舟60,小型,2019/9/1 14:15,2019/9/1 14:50,173,0.29,,,,,,100%
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,KRL,库尔勒,KRL,库尔勒机场,,G54824,,None,G5,华夏航空,CR9,庞巴迪900,小型,2019/9/1 22:05,2019/9/1 23:20,300,0.13,,,,,,90%
2019/8/3 0:00,AAT,阿勒泰,AAT,阿勒泰机场,,KRL,库尔勒,KRL,库尔勒机场,,MU6628,G54824,华夏航空,MU,东方航空,CR9,庞巴迪900,小型,2019/9/1 22:05,2019/9/1 23:20,1360,0.59,,,,,,90%
