IATA,HC,CO,NOx,PM25,SO2,CO2
AAT,320.410996,2761.604492,5109.165,76.6899,483.306,1142265.593
ACX,178.565369,2837.746094,5462.125,92.7154,566.093,1337923.437
AEB,81.427112,908.729736,1466.064,26.2255,153.569,362952.75
AHJ,48.019354,472.623627,1007.776,13.1886,97.643,230774.953
AKU,385.652359,5372.625,10817.251,202.0842,1042.397,2463635.5
AQG,156.648415,1504.42334,3970.087,59.8289,367.498,868561.312
AVA,86.208622,828.942627,2486.808,36.3434,217.488,514021.031
AXF,298.236191,2065.645081,4122.738,55.7258,358.954,848369.094
BAR,5.467162,53.205465,126.696,1.9695,12.579,29731.678
BAV,299.185173,3213.861572,5223.932,72.4264,632.68,1495302.812
BFJ,298.869858,3846.544922,7542.729,132.3936,788.122,1862663.937
BHY,740.221191,6666.541992,13334.844,177.6052,1192.474,2818338.5
BPE,164.001404,1797.440491,3577.303,54.7745,340.8,805461.718
BPL,158.808876,1609.606568,2583.125,115.2975,258.126,610065.297
BPX,151.178574,1534.080139,2660.448,34.8801,279.25,659991
BSD,229.745979,2396.923095,5052.366,76.614,502.865,1188491.375
BZX,31.808386,320.070541,715.849,11.0515,75.653,178801.258
CAN,16528.76367,173944.7031,325203.664,3662.8977,27703.615,65478394
CDE,85.945244,942.649262,2792.954,41.2506,240.646,568754.016
CGD,263.900726,2940.259155,5644.751,88.4164,559.582,1322535.438
CGO,7224.091553,73677.73438,177645.343,2427.6286,15554.256,36763348
CGQ,3589.760986,33205.69336,85989.955,1074.3824,7243.791,17120359.5
CHG,46.257705,725.926208,1163.856,16.9375,124.326,293838.641
CIF,433.252212,4578.959838,8264.313,141.7867,803.126,1898136.375
CIH,196.938171,2521.004272,5630.953,378.7083,547.483,1293943.625
CKG,13034.87353,128095.5508,277780.262,3601.8744,24999.115,59085358
CSX,7190.785888,65624.02344,149532.801,1959.693,13081.896,30917964
CTU,39496.9668,358228.75,483369.977,5156.7532,47094.818,111309360
CWJ,83.061966,572.580337,1203.623,17.8625,110.492,261142.719
CZX,1253.440796,11433.05176,27390.061,352.7264,2373.495,5609621
DAT,567.213379,6003.789063,15002.298,345.9721,1344.294,3177166.75
DAX,324.952881,4057.33728,4180.131,65.5156,492.805,1164716.687
DBC,3.857598,108.708275,154.01,2.8253,18.066,42698.824
DCY,200.936959,2020.357727,3761.475,49.2758,383.11,905460.813
DDG,84.34922,961.784668,2546.383,36.8956,226.618,535599.125
DIG,239.166229,2512.641113,4453.518,64.1905,446.905,1056234.813
DLC,11264.89893,102799.6094,148002.336,1958.2665,14991.031,35431538
