IATA,HC,CO,NOx,PM25,SO2,CO2
AAT,               6.070194,              53.074223,                   43.326,                0.5271,                 7.199,                  17014.559
ACX,               3.978686,              62.764893,                   57.117,                0.6902,                 9.800,                  23161.412
AEB,               0.635726,               8.769100,                    8.833,                0.1247,                 1.592,                   3762.368
AHJ,               1.575936,              15.719692,                   14.116,                0.1924,                 2.561,                   6052.839
AKU,               7.326836,             106.353271,                   97.463,                1.0476,                15.646,                  36977.852
AQG,               3.397437,              34.745094,                   37.179,                0.5079,                 6.491,                  15342.164
AVA,               1.477960,              15.274028,                   18.672,                0.2363,                 3.054,                   7218.792
AXF,               5.997966,              41.878391,                   35.023,                0.3300,                 5.087,                  12022.548
BAR,               0.174151,               1.768444,                    1.639,                0.0274,                 0.324,                    766.357
BAV,              11.419517,             108.867889,                  116.806,                1.3197,                18.399,                  43485.496
BFJ,               5.551263,              80.724220,                   70.598,                0.9454,                12.673,                  29952.480
BHY,              12.779210,             122.724045,                   96.089,                1.2594,                16.714,                  39501.660
BPE,               4.465392,              53.060127,                   41.413,                0.5098,                 7.126,                  16841.906
BPL,               3.216582,              36.019672,                   28.365,                0.2816,                 4.438,                  10488.534
BPX,               2.911756,              29.786926,                   23.923,                0.3258,                 4.467,                  10558.222
BSD,               3.258867,              42.377262,                   41.734,                0.4685,                 7.033,                  16621.066
BZX,               0.775057,               9.122766,                    8.237,                0.1269,                 1.573,                   3718.235
CAN,             300.608093,            3155.750000,                 2391.574,               27.3133,               406.792,                 961428.938
CDE,               1.648293,              17.283627,                   22.807,                0.2595,                 3.508,                   8290.195
CGD,               5.279277,              59.795986,                   47.907,                0.6844,                 8.821,                  20847.309
CGO,             132.311722,            1404.751099,                 1417.724,               16.5434,               230.757,                 545382.938
CGQ,              65.423950,             616.091431,                  642.923,                7.8904,               105.002,                 248167.344
CHG,               0.932035,              15.014546,                   10.891,                0.1267,                 1.961,                   4635.691
CIF,               9.431088,             106.837997,                   76.497,                0.9830,                13.447,                  31780.203
CIH,               2.976429,              44.459129,                   41.769,                0.4624,                 6.943,                  16408.484
CKG,             234.788696,            2347.684326,                 2122.360,               26.4763,               364.440,                 861328.750
CSX,             128.335831,            1228.257690,                 1137.438,               14.0465,               190.911,                 451210.438
CTU,             702.934143,            6360.579102,                 3728.476,               45.2673,               713.913,                1687293.125
CWJ,               1.007320,              10.525823,                   12.978,                0.1397,                 1.990,                   4702.547
CZX,              24.947104,             232.703049,                  231.474,                2.8545,                38.108,                  90066.773
DAT,              10.229408,             123.236374,                  126.081,                1.5286,                20.991,                  49610.484
DAX,               3.910916,              54.853737,                   21.870,                0.2682,                 4.463,                  10548.947
DBC,               0.009192,               1.345883,                    1.252,                0.0092,                 0.185,                    437.640
DCY,               3.654742,              37.102867,                   30.855,                0.4203,                 5.709,                  13492.031
DDG,               1.412374,              14.564450,                   18.501,                0.2340,                 3.003,                   7096.647
DIG,               4.115272,              48.802536,                   38.497,                0.4239,                 6.602,                  15604.648
DLC,             198.422791,            1808.933350,                 1229.754,               15.1589,               224.511,                 530622.000
DLU,               5.383003,              62.303810,                   62.424,                0.7282,                10.434,                  24660.707
DNH,               6.291870,              67.116920,                   64.511,                0.8596,                11.451,                  27063.770
DOY,               8.334757,              75.459633,                   62.588,                0.7450,                10.209,                  24128.201
DQA,               2.472208,              20.965111,                   24.731,                0.3476,                 4.207,                   9942.950
DSN,              19.132797,             175.462723,                  170.841,                2.1482,                28.620,                  67641.641
DTU,               2.239994,              21.390743,                    7.807,                0.1094,                 1.920,                   4537.693
DYG,              17.403606,             134.562958,                  151.069,                1.9247,                24.279,                  57382.621
EJN,               2.236121,              13.427868,                   12.169,                0.1178,                 1.726,                   4078.129
ENH,               3.674352,              51.665085,                   41.923,                0.5093,                 7.466,                  17645.383
ENY,               3.118748,              34.627724,                   40.917,                0.5197,                 6.823,                  16125.973
ERL,               0.210442,               8.871356,                    7.954,                0.0739,                 1.267,                   2994.283
FOC,              67.514526,             701.253906,                  661.327,                7.3175,               107.473,                 254005.766
FUG,               4.490549,              45.114765,                   50.223,                0.7500,                 8.986,                  21236.789
FUO,               2.282790,              28.432304,                   32.624,                0.3439,                 5.003,                  11823.588
FYJ,               0.708452,               3.449717,                    5.360,                0.0637,                 0.748,                   1768.108
FYN,               1.961417,              14.944939,                   11.416,                0.1120,                 1.740,                   4112.316
GMQ,               0.608969,               6.112445,                    5.344,                0.0728,                 0.976,                   2306.858
GOQ,               1.637186,              21.450165,                   17.176,                0.2138,                 3.204,                   7571.605
GXH,               1.664971,              16.379295,                   15.578,                0.2125,                 2.787,                   6587.179
GYS,               1.847148,              20.949760,                   19.733,                0.2983,                 3.701,                   8747.902
GYU,               2.447423,              24.647095,                   25.784,                0.4015,                 4.795,                  11333.548
HAK,             181.300049,            1763.813721,                  998.481,               12.3220,               192.580,                 455153.250
HBQ,               0.190994,               1.892442,                    1.748,                0.0238,                 0.315,                    744.257
HCJ,               0.017721,               2.485429,                    2.468,                0.0180,                 0.359,                    849.197
HDG,               4.177917,              45.567917,                   52.682,                0.6960,                 8.873,                  20970.766
HEK,               1.182050,              12.203022,                   10.002,                0.1455,                 1.927,                   4555.261
HET,              92.695847,            1054.805176,                  751.043,                8.7456,               130.451,                 308313.812
HFE,              65.059967,             652.605774,                  614.679,                7.8150,               104.784,                 247650.188
HGH,             287.363770,            2701.970459,                 1834.049,               22.6172,               337.909,                 798630.688
HIA,              10.993298,             101.200760,                  108.657,                1.6096,                19.473,                  46022.270
HJJ,               3.768595,              38.230366,                   44.870,                0.6307,                 7.762,                  18344.797
HLD,              13.109744,             140.728043,                  154.371,                1.7860,                24.483,                  57863.602
HLH,               2.449668,              41.698135,                   43.869,                0.4726,                 7.001,                  16545.311
HMI,               0.642296,               8.238863,                    7.341,                0.0781,                 1.158,                   2736.661
HNY,               9.957960,              97.210373,                  102.998,                1.2657,                17.034,                  40259.984
HPG,               1.038010,              10.049290,                   10.184,                0.1390,                 1.795,                   4243.277
HRB,             237.763733,            2067.216553,                 1307.720,               16.6201,               245.840,                 581031.312
HSN,               7.537299,              77.632011,                   93.343,                1.0690,                14.692,                  34724.078
HTN,               5.357014,              81.785469,                   66.394,                0.7294,                11.130,                  26305.881
HTT,               0.596467,               6.882197,                    7.114,                0.0847,                 1.207,                   2852.766
HUO,               0.056474,               8.487976,                    7.581,                0.0560,                 1.133,                   2678.001
HUZ,              11.968137,             102.744316,                  127.854,                1.6877,                20.811,                  49184.566
HXD,               0.368127,               5.241091,                    6.961,                0.0711,                 1.080,                   2551.349
HYN,               4.871350,              54.310471,                   62.267,                0.7641,                10.142,                  23969.809
HZG,               2.739500,              30.159964,                   40.454,                0.4540,                 6.169,                  14579.254
HZH,               0.797870,               4.760901,                    4.085,                0.0399,                 0.585,                   1383.694
INC,              82.003311,             716.417969,                  743.797,                9.1822,               122.101,                 288579.938
IQM,               0.385625,              17.685137,                   13.945,                0.1159,                 2.220,                   5246.771
IQN,               2.521088,              26.647903,                   20.917,                0.2796,                 3.682,                   8703.223
JDZ,               6.589133,              67.590149,                   88.413,                1.1347,                14.362,                  33942.766
JGD,               3.611761,              25.064020,                   22.009,                0.2320,                 3.325,                   7859.371
JGN,               3.054525,              36.220615,                   36.576,                0.5252,                 6.745,                  15941.370
JGS,               4.832949,              55.239098,                   62.256,                0.7799,                10.311,                  24370.674
JHG,              15.150439,             174.976807,                  181.545,                2.1949,                30.579,                  72271.742
JIC,               1.021794,              10.466888,                   11.432,                0.1606,                 2.008,                   4745.060
JIQ,               1.230201,              14.492957,                   15.086,                0.2300,                 2.788,                   6589.808
JJN,              27.913610,             289.666687,                  343.534,                4.3774,                56.555,                 133664.266
JMJ,               1.220670,              12.773469,                   14.564,                0.1547,                 2.269,                   5362.963
JMU,               1.854050,              20.577991,                   24.696,                0.2982,                 3.980,                   9405.446
JNG,               7.780511,              93.565079,                   59.484,                0.8135,                11.191,                  26450.418
JNZ,               1.670478,              18.881836,                   24.368,                0.2756,                 3.757,                   8879.295
JSJ,               1.043506,              11.033434,                   14.823,                0.1558,                 2.197,                   5191.754
JUH,               3.457801,              34.928017,                   42.867,                0.5983,                 7.325,                  17311.672
JUZ,               3.192273,              32.551929,                   34.653,                0.3872,                 5.527,                  13061.615
JXA,               3.462932,              31.084381,                   25.618,                0.2878,                 4.179,                   9876.318
JZH,               0.000000,               0.000000,                    0.000,                0.0000,                 0.000,                      0.000
KCA,               1.215860,              20.782444,                   13.327,                0.1404,                 2.297,                   5429.951
KGT,               1.912367,              19.605152,                   19.297,                0.2318,                 3.238,                   7652.434
KHG,              11.470438,             127.189201,                  110.605,                1.2712,                18.117,                  42818.742
KHN,              70.164673,             693.200439,                  721.738,                9.2264,               121.281,                 286641.500
KJH,               0.628666,               6.219682,                    6.362,                0.1068,                 1.232,                   2912.566
KJI,               4.743391,              39.007637,                   39.052,                0.3886,                 5.754,                  13599.659
KMG,             438.358032,            5018.749023,                 2407.617,               29.5853,               501.980,                1186402.000
KOW,              10.008866,             103.059753,                   91.155,                1.1823,                15.716,                  37144.637
KRL,               6.942565,             129.879028,                  118.779,                1.2811,                19.518,                  46129.902
KRY,               7.347303,              86.667465,                   91.874,                0.9637,                14.123,                  33379.648
KWE,             224.071793,            2414.622070,                 1226.961,               15.2148,               243.729,                 576041.250
KWL,              44.619858,             465.625275,                  491.653,                5.9493,                80.858,                 191102.031
LCX,               1.033685,              12.063210,                   14.631,                0.1735,                 2.332,                   5511.794
LDS,               0.480377,               6.298550,                    5.108,                0.0742,                 0.974,                   2302.423
LFQ,               4.212388,              41.149193,                   30.470,                0.4183,                 5.792,                  13689.199
LHW,             103.508537,            1054.846802,                  884.075,               11.3766,               157.531,                 372315.875
LJG,              23.416306,             244.666138,                  233.647,                3.3684,                42.909,                 101413.023
LLB,               0.211832,               9.156207,                    9.094,                0.0771,                 1.375,                   3250.016
LLV,               6.388351,              42.012360,                   57.151,                0.7246,                 8.760,                  20704.803
LNJ,               1.267015,              15.774288,                   16.413,                0.1667,                 2.648,                   6258.761
LNL,               2.029718,              26.764317,                   33.716,                0.3435,                 5.023,                  11871.533
LPF,               4.229599,              45.947319,                   16.427,                0.2417,                 3.459,                   8174.199
LUM,               5.892972,              72.599144,                   75.090,                0.8672,                12.712,                  30044.900
LXA,              44.726364,             483.566284,                  461.295,                5.7267,                79.349,                 187537.609
LYA,              30.004700,             233.475037,                   95.216,                1.3057,                19.809,                  46816.422
LYG,              11.037037,             116.619934,                  128.934,                1.5148,                20.695,                  48911.285
LYI,              19.129061,             199.836487,                  174.907,                2.4206,                31.460,                  74354.898
LZH,               5.517966,              60.037918,                   67.412,                0.8459,                11.096,                  26223.766
LZO,               7.096072,              72.059570,                   73.330,                0.9543,                12.331,                  29143.928
