IATA,HC,CO,NOx,PM25,SO2,CO2
AAT,               5.081386,              39.436771,                  139.040,                2.1849,                 9.618,                  22731.047
ACX,               3.343169,              45.907841,                  162.349,                2.9781,                12.486,                  29509.721
AEB,               0.521722,               6.295461,                   27.267,                0.4914,                 2.058,                   4863.530
AHJ,               1.445347,              14.013931,                   49.558,                0.6408,                 3.592,                   8488.495
AKU,               6.291121,              77.272110,                  273.727,                5.0016,                19.972,                  47203.660
AQG,               2.913561,              25.696558,                  122.176,                1.8824,                 8.325,                  19674.607
AVA,               1.289110,              11.355152,                   62.083,                0.9387,                 3.954,                   9343.888
AXF,               5.505193,              34.446796,                  123.771,                1.7631,                 8.324,                  19672.543
BAR,               0.147447,               1.361290,                    5.814,                0.0885,                 0.416,                    982.565
BAV,               3.148601,              27.203167,                  101.452,                1.6813,                 7.247,                  17128.025
BFJ,               4.554339,              58.909882,                  207.755,                4.0063,                16.512,                  39024.543
BHY,              10.390907,              94.217308,                  327.107,                4.3690,                21.521,                  50863.969
BPE,               3.755073,              37.916611,                  127.234,                2.1741,                 9.100,                  21507.881
BPL,               2.632817,              25.900982,                   76.081,                1.4650,                 5.924,                  13999.991
BPX,               2.250999,              22.601328,                   66.986,                0.8660,                 5.071,                  11984.785
BSD,               2.886936,              30.414660,                  124.193,                2.0534,                 9.237,                  21831.488
BZX,               0.391385,               3.443300,                   17.296,                0.2633,                 1.199,                   2833.048
CAN,             272.497345,            2714.569824,                 8442.393,               96.3796,               523.731,                1237804.375
CDE,               1.463633,              12.804903,                   73.894,                1.1147,                 4.544,                  10739.035
CGD,               4.129955,              42.216148,                  151.273,                2.4175,                10.951,                  25881.816
CGO,             116.842400,            1112.234375,                 4610.767,               65.7126,               298.121,                 704593.812
CGQ,              54.966240,             488.162415,                 2275.385,               28.8486,               139.837,                 330498.562
CHG,               0.747533,              10.936316,                   30.120,                0.4593,                 2.418,                   5713.955
CIF,               7.796867,              75.897743,                  234.112,                4.3955,                17.529,                  41429.426
CIH,               2.459586,              31.866648,                  117.704,                6.9639,                 8.902,                  21040.352
CKG,             205.392151,            1937.864990,                 7190.647,               93.3731,               470.949,                1113057.125
CSX,             110.691925,             982.827393,                 3853.802,               51.7643,               247.624,                 585246.562
CTU,             640.923889,            5904.922852,                13167.789,              132.7774,               904.714,                2138243.500
CWJ,               0.872806,               7.578568,                   39.511,                0.5994,                 2.543,                   6010.137
CZX,              20.849270,             182.253647,                  783.964,               10.2424,                49.082,                 116003.094
DAT,               8.886576,              92.430870,                  398.364,               11.1521,                26.947,                  63686.711
DAX,               3.894010,              50.843430,                   65.200,                1.1445,                 6.253,                  14777.893
DBC,               0.005599,               0.923372,                    2.119,                0.0703,                 0.235,                    555.805
DCY,               3.035977,              30.169285,                   94.467,                1.2214,                 7.051,                  16663.572
DDG,               1.223523,              10.645575,                   61.912,                0.9365,                 3.902,                   9221.743
DIG,               3.810180,              39.478809,                  109.859,                1.7202,                 8.517,                  20129.637
DLC,             188.906662,            1652.093018,                 3868.138,               51.3921,               285.282,                 674250.500
DLU,               4.439667,              44.901848,                  184.969,                2.7554,                13.140,                  31055.975
DNH,               5.241073,              51.613232,                  216.188,                3.0276,                14.660,                  34647.180
DOY,               7.110684,              58.998833,                  206.283,                2.9152,                13.136,                  31045.078
DQA,               1.968097,              15.701351,                   89.653,                1.1542,                 5.510,                  13022.399
DSN,              13.268216,             116.619278,                  522.065,               10.0301,                34.167,                  80752.812
DTU,               1.724046,              14.037844,                   19.369,                0.5327,                 2.285,                   5399.676
DYG,              13.908783,             102.384109,                  549.352,                6.8282,                32.930,                  77828.820
EJN,               1.739181,               9.541036,                   42.281,                0.5254,                 2.622,                   6197.312
ENH,               3.107660,              39.734314,                  125.413,                2.0144,                 9.758,                  23062.453
ENY,               2.578219,              24.218090,                  128.993,                1.9932,                 8.410,                  19876.865
ERL,               0.165774,               6.351645,                   16.467,                0.4406,                 1.608,                   3801.318
FOC,              62.861832,             586.651001,                 2089.275,               29.7225,               138.114,                 326425.281
FUG,               3.753103,              32.467926,                  176.214,                2.7079,                11.703,                  27659.896
FUO,               2.018541,              20.946848,                  100.198,                1.5305,                 6.400,                  15125.026
FYJ,               0.496882,               2.767855,                   22.890,                0.1651,                 1.040,                   2456.875
FYN,               1.598604,              11.115578,                   35.294,                0.5043,                 2.462,                   5819.556
GMQ,               0.333183,               5.257216,                   15.985,                0.2599,                 1.348,                   3186.429
GOQ,               1.379466,              17.347069,                   51.440,                5.7066,                 4.083,                   9650.018
GXH,               1.485989,              14.120638,                   54.728,                0.7076,                 3.886,                   9184.701
GYS,               1.504862,              15.245554,                   66.488,                1.0004,                 4.740,                  11203.259
GYU,               2.067450,              18.437988,                   90.741,                1.3787,                 6.198,                  14648.355
HAK,             169.729492,            1600.629395,                 2845.377,               37.7439,               227.944,                 538734.250
HBQ,               0.154597,               1.484584,                    5.490,                0.0710,                 0.394,                    930.818
HCJ,               0.010535,               1.640406,                    4.203,                0.1403,                 0.459,                   1085.528
HDG,               3.620004,              34.505123,                  179.785,                2.7755,                11.923,                  28178.258
HEK,               0.941535,               7.958178,                   27.871,                0.4838,                 2.159,                   5101.839
HET,              82.388680,             870.595154,                 2246.938,               36.9266,               164.533,                 388865.469
HFE,              54.856781,             508.813568,                 2060.110,               27.9602,               134.896,                 318818.938
HGH,             262.712097,            2397.394531,                 5772.204,               71.9595,               415.231,                 981376.625
HIA,               8.759212,              73.405006,                  374.742,                5.2590,                24.462,                  57814.215
HJJ,               2.949146,              25.755949,                  142.875,                2.1655,                 9.280,                  21931.844
HLD,              10.130146,              95.165359,                  449.785,                6.7883,                28.986,                  68505.789
HLH,               2.063397,              29.637089,                  119.039,                2.3281,                 8.991,                  21250.822
HMI,               0.554385,               5.959109,                   20.985,                0.3865,                 1.486,                   3513.158
HNY,               8.406119,              69.680000,                  335.634,                5.2762,                22.041,                  52093.109
